# _tick,_time,step,total_loss,mean_episode_return,last_100_episode_returns,max_return_achieved,pg_loss,baseline_loss,entropy_loss,learning_rate
0,1693388719.718697,0,7.712063471476237,0.375,0.18000000715255737,2.0 at step 0,15.23362684249878,0.0,-7.521563212076823,0.0004
1,1693388720.114676,2048,-18.512731393178303,0.2708333333333333,0.3100000023841858,2.0 at step 2048,-12.853889147440592,0.0,-5.65884256362915,0.0004
2,1693388738.816864,0,-0.3490060170491536,0.14583333333333334,0.07000000029802322,2.0 at step 0,7.6775821050008135,0.0,-8.026588122049967,0.0004
3,1693388740.6990762,2048,-9.0421142578125,0.125,0.12999999523162842,2.0 at step 2048,-2.8681211471557617,0.0,-6.173993110656738,0.0004
4,1693388742.563251,4096,5.284847259521484,0.20833333333333334,0.23000000417232513,2.0 at step 4096,11.200748284657797,0.0,-5.915900548299153,0.0004
5,1693388744.428402,6128,0.9878295262654623,0.20833333333333334,0.27000001072883606,3.0 at step 6128,8.22919782002767,0.0,-7.241368293762207,0.0004
6,1693388746.3059788,8160,-8.792794545491537,0.14583333333333334,0.2800000011920929,3.0 at step 6128,-1.8506317138671875,0.0,-6.942162195841472,0.0004
7,1693388748.195511,10192,20.73606999715169,0.1875,0.2800000011920929,3.0 at step 6128,27.174374262491863,0.0,-6.438304424285889,0.0004
8,1693388750.069856,12224,14.525811831156412,0.20833333333333334,0.27000001072883606,3.0 at step 6128,21.504544576009113,0.0,-6.978733062744141,0.0003999990130403717
9,1693388751.941679,14256,-4.813857714335124,0.0625,0.2199999988079071,3.0 at step 6128,2.355363210042318,0.0,-7.169220765431722,0.0003999990130403717
10,1693388753.804252,16288,-0.722895622253418,0.08333333333333333,0.20999999344348907,3.0 at step 6128,6.1257985432942705,0.0,-6.8486941655476885,0.0003999990130403717
11,1693388755.653877,18320,9.496303876241049,0.20833333333333334,0.20000000298023224,3.0 at step 6128,14.65160846710205,0.0,-5.155304590861003,0.0003999990130403717
12,1693388757.4965389,20352,3.012101491292318,0.1875,0.23999999463558197,3.0 at step 6128,7.023532231648763,0.0,-4.011430740356445,0.0003999990130403717
13,1693388759.37117,22384,-30.581998189290363,0.16666666666666666,0.2800000011920929,3.0 at step 22384,-24.29527219136556,0.0,-6.286725680033366,0.0003999960521712274
14,1693388761.231571,24416,9.797794024149576,0.22916666666666666,0.28999999165534973,3.0 at step 24416,14.094753901163736,0.0,-4.29695987701416,0.0003999960521712274
15,1693388763.0830731,26448,-45.787637074788414,0.1875,0.28999999165534973,3.0 at step 24416,-38.78767601648966,0.0,-6.999962329864502,0.0003999960521712274
16,1693388764.9268138,28480,-0.43232091267903644,0.22916666666666666,0.33000001311302185,3.0 at step 28480,4.246407508850098,0.0,-4.6787285804748535,0.0003999960521712274
17,1693388766.78004,30512,0.706048329671224,0.3125,0.3499999940395355,3.0 at step 30512,7.341149965922038,0.0,-6.6351016362508135,0.0003999960521712274
18,1693388768.650902,32544,6.860959053039551,0.4166666666666667,0.49000000953674316,3.0 at step 32544,12.00647258758545,0.0,-5.145513852437337,0.00039999111742179
19,1693388770.511925,34576,6.405880451202393,0.16666666666666666,0.47999998927116394,3.0 at step 32544,10.297420342763266,0.0,-3.891540050506592,0.00039999111742179
20,1693388772.391459,36608,0.31564903259277344,0.08333333333333333,0.36000001430511475,3.0 at step 32544,5.936709403991699,0.0,-5.621060371398926,0.00039999111742179
21,1693388774.313428,38640,-12.664589087168375,0.14583333333333334,0.2800000011920929,3.0 at step 32544,-6.204919656117757,0.0,-6.459669748942058,0.00039999111742179
22,1693388776.215873,40672,11.9897829691569,0.20833333333333334,0.23999999463558197,3.0 at step 32544,17.75991408030192,0.0,-5.7701311111450195,0.00039999111742179
23,1693388778.097688,42704,19.376990636189777,0.20833333333333334,0.2800000011920929,3.0 at step 32544,24.019268035888672,0.0,-4.642277240753174,0.0003999842088407633
24,1693388779.9653702,44736,8.426490783691406,0.1875,0.3100000023841858,3.0 at step 32544,15.520569880803427,0.0,-7.09407901763916,0.0003999842088407633
25,1693388781.826035,46768,-15.905895551045736,0.2708333333333333,0.33000001311302185,3.0 at step 32544,-9.068440755208334,0.0,-6.837454795837402,0.0003999842088407633
26,1693388783.682034,48800,4.32116158803304,0.2708333333333333,0.36000001430511475,3.0 at step 48800,12.150145212809244,0.0,-7.828983624776204,0.0003999842088407633
27,1693388785.551738,50832,13.30702273050944,0.3958333333333333,0.47999998927116394,3.0 at step 50832,20.089089075724285,0.0,-6.782066186269124,0.0003999842088407633
28,1693388787.412075,52864,29.111283620198567,0.20833333333333334,0.46000000834465027,3.0 at step 50832,34.99895731608073,0.0,-5.887674172719319,0.0003999753264963322
29,1693388789.317429,54896,37.98716163635254,0.2708333333333333,0.44999998807907104,3.0 at step 50832,43.709302266438804,0.0,-5.722141106923421,0.0003999753264963322
30,1693388791.179203,56928,-14.319386800130209,0.6041666666666666,0.5799999833106995,5.0 at step 56928,-6.4114400545756025,0.0,-7.907946586608887,0.0003999753264963322
31,1693388793.044134,58960,15.062796910603842,0.3541666666666667,0.5899999737739563,5.0 at step 56928,20.88384262720744,0.0,-5.8210452397664385,0.0003999753264963322
32,1693388794.9009018,60992,0.7367852528889974,0.1875,0.5699999928474426,5.0 at step 56928,5.949580987294515,0.0,-5.212795416514079,0.0003999753264963322
33,1693388796.785145,63024,-9.070549329121908,0.22916666666666666,0.4399999976158142,5.0 at step 56928,-2.6332321166992188,0.0,-6.43731689453125,0.0003999644704761619
34,1693388798.655622,65056,15.78455384572347,0.2708333333333333,0.36000001430511475,5.0 at step 56928,21.999236742655437,0.0,-6.214682579040527,0.0003999644704761619
35,1693388800.5273411,67088,-23.057986895243328,0.20833333333333334,0.3499999940395355,5.0 at step 56928,-18.360527674357098,0.0,-4.697458585103353,0.0003999644704761619
36,1693388802.380555,69120,-1.5108124415079753,0.3125,0.4399999976158142,5.0 at step 56928,3.934669017791748,0.0,-5.445481618245442,0.0003999644704761619
37,1693388804.24991,71152,-14.023215929667154,0.4375,0.5299999713897705,5.0 at step 56928,-7.31578254699707,0.0,-6.707433382670085,0.0003999644704761619
38,1693388806.118973,73184,30.459779739379883,0.22916666666666666,0.5099999904632568,5.0 at step 56928,35.61528650919596,0.0,-5.155507882436116,0.0003999516408873969
39,1693388807.984961,75216,-4.809484799702962,0.20833333333333334,0.44999998807907104,5.0 at step 56928,0.3698616027832031,0.0,-5.179346561431885,0.0003999516408873969
40,1693388809.8418329,77248,2.4818026224772134,0.0625,0.2800000011920929,5.0 at step 56928,8.504156748453775,0.0,-6.022354284922282,0.0003999516408873969
41,1693388811.691464,79280,5.8135986328125,0.10416666666666667,0.2199999988079071,5.0 at step 56928,10.613555908203125,0.0,-4.7999569574991865,0.0003999516408873969
42,1693388813.560027,81312,7.12828254699707,0.14583333333333334,0.1899999976158142,5.0 at step 56928,12.50612767537435,0.0,-5.377844333648682,0.0003999516408873969
43,1693388815.418994,83344,14.11721420288086,0.25,0.23999999463558197,5.0 at step 56928,19.596075693766277,0.0,-5.478861172993978,0.00039993683785666007
44,1693388817.289412,85376,-6.4000749588012695,0.2708333333333333,0.33000001311302185,5.0 at step 56928,-0.6271884441375732,0.0,-5.772886435190837,0.00039993683785666007
45,1693388819.1989172,87408,-10.010200182596842,0.2708333333333333,0.41999998688697815,5.0 at step 56928,-3.51047420501709,0.0,-6.499725977579753,0.00039993683785666007
46,1693388821.0922072,89440,-2.220495859781901,0.5,0.5299999713897705,5.0 at step 56928,2.2115160624186196,0.0,-4.4320119222005205,0.00039993683785666007
47,1693388822.987992,91472,-2.533797264099121,0.2708333333333333,0.5199999809265137,5.0 at step 56928,2.5380773544311523,0.0,-5.071874618530273,0.00039993683785666007
48,1693388824.874778,93504,17.03480339050293,0.3333333333333333,0.5699999928474426,5.0 at step 56928,23.063358147939045,0.0,-6.028554439544678,0.00039992006153005135
49,1693388826.785256,95536,-7.809069951375325,0.4166666666666667,0.5400000214576721,5.0 at step 56928,-0.3568868637084961,0.0,-7.4521834055582685,0.00039992006153005135
50,1693388828.7258592,97568,12.352998733520508,0.3333333333333333,0.5600000023841858,5.0 at step 56928,18.720216433207195,0.0,-6.367218017578125,0.00039992006153005135
51,1693388830.620398,99600,-13.835344314575195,0.4375,0.5899999737739563,5.0 at step 56928,-8.974736531575521,0.0,-4.860607941945394,0.00039992006153005135
52,1693388832.4878778,101632,-1.614025354385376,0.4166666666666667,0.6499999761581421,5.0 at step 56928,3.8704217274983725,0.0,-5.484447081883748,0.00039992006153005135
53,1693388834.3524768,103664,6.692598342895508,0.5416666666666666,0.7400000095367432,5.0 at step 56928,13.177843729654947,0.0,-6.48524538675944,0.0003999013120731464
54,1693388836.2153542,105696,-15.994911511739096,0.3541666666666667,0.699999988079071,5.0 at step 56928,-10.667533238728842,0.0,-5.327377637227376,0.0003999013120731464
55,1693388838.099935,107728,-9.546559651692709,0.3125,0.6399999856948853,5.0 at step 56928,-3.3966649373372397,0.0,-6.149894078572591,0.0003999013120731464
